Security Code,Issuer Name,SYMBOL,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500002.BO.BO.BO,ABB India Limited,ABB.BO,ABB India Limited,Active,A ,2.0,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500003.BO.BO.BO,Aegis Logistics Ltd.,AEGISLOG.BO,AEGIS LOGISTICS LTD.,Active,A ,1.0,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
500008.BO.BO.BO,Amara Raja Energy & Mobility Limited,ARE&M.BO,Amara Raja Energy & Mobility Ltd,Active,A ,1.0,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500009.BO.BO.BO,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA.BO,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.0,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500012.BO.BO.BO,Andhra Petrochemicals Ltd.,ANDHRAPET.BO,ANDHRA PETROCHEMICALS LTD.,Active,X ,10.0,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500014.BO.BO.BO,UTIQUE ENTERPRISES LIMITED,UTIQUE.BO,Utique Enterprises Ltd,Active,X ,10.0,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
500016.BO.BO.BO,Aruna Hotels Ltd.,ARUNAHTEL.BO,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500020.BO.BO.BO,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING.BO,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.0,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500023.BO.BO.BO,Asian Hotels (North) Limited,ASIANHOTNR.BO,Asian Hotels (North) Limited,Active,T ,10.0,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500027.BO.BO.BO,Atul Limited.,ATUL.BO,ATUL LTD.,Active,A ,10.0,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500028.BO.BO.BO,ATV Projects India Ltd,ATVPR.BO,ATV PROJECTS INDIA LTD.,Active,X ,10.0,INE447A01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
500031.BO.BO.BO,Bajaj Electricals Ltd.,BAJAJELEC.BO,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.0,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500032.BO.BO.BO,Bajaj Hindusthan Sugar Limited,BAJAJHIND.BO,Bajaj Hindusthan Sugar Limited,Active,A ,1.0,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500033.BO.BO.BO,Force Motors Limited,FORCEMOT.BO,FORCE MOTORS LTD.-$,Active,A ,10.0,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
500034.BO.BO.BO,Bajaj Finance Limited,BAJFINANCE.BO,Bajaj Finance Limited,Active,A ,2.0,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500038.BO.BO.BO,Balrampur Chini Mills Ltd.,BALRAMCHIN.BO,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.0,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500039.BO.BO.BO,Banco Products (India) Ltd.,BANCOINDIA.BO,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500040.BO.BO.BO,ADITYA BIRLA REAL ESTATE LIMITED,ABREL.BO,Aditya Birla Real Estate Ltd,Active,A ,10.0,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
500041.BO.BO.BO,Bannari Amman Sugars Ltd.,BANARISUG.BO,BANNARI AMMAN SUGARS LTD.,Active,B ,10.0,INE459A01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500042.BO.BO.BO,BASF India Ltd,BASF.BO,BASF INDIA LTD.,Active,A ,10.0,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500043.BO.BO.BO,Bata India Limited,BATAINDIA.BO,BATA INDIA LTD.,Active,A ,5.0,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
500048.BO.BO.BO,BEML Ltd,BEML.BO,BEML LTD.,Active,A ,10.0,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
500049.BO.BO.BO,Bharat Electronics Ltd.,BEL.BO,BHARAT ELECTRONICS LTD.,Active,A ,1.0,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
500052.BO.BO.BO,Bhansali Engineering Polymers Ltd.,BEPL.BO,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B ,1.0,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500058.BO.BO.BO,Bihar Sponge Iron Ltd,BIHSPONG.BO,BIHAR SPONGE IRON LTD.,Active,X ,10.0,INE819C01011,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
500059.BO.BO.BO,Binani Industries Limited,BINANIIND.BO,BINANI INDUSTRIES LTD.,Active,B ,10.0,INE071A01013,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
500060.BO.BO.BO,Birla Cable Limited,BIRLACABLE.BO,Birla Cable Ltd,Active,B ,10.0,INE800A01015,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
500067.BO.BO.BO,Blue Star Ltd,BLUESTARCO.BO,BLUE STAR LTD.,Active,A ,2.0,INE472A01039,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500068.BO.BO.BO,Disa India Ltd.,DISAQ.BO,DISA INDIA LTD.,Active,B ,10.0,INE131C01011,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
