SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,Unnamed: 7
NMSTEEL.NS,Newmalayalam Steel Limited,ST,27-Dec-24,10,INE0TP801012,10,
IDENTICAL.NS,Identical Brains Studios Limited,ST,26-Dec-24,10,INE0TD101011,10,
PURPLEUTED.NS,Purple United Sales Limited,ST,18-Dec-24,10,INE0P5R01014,10,
SFML.NS,Supreme Facility Management Limited,ST,18-Dec-24,10,INE0U6N01014,10,
DHANLAXMI.NS,Dhanlaxmi Crop Science Limited,SM,16-Dec-24,10,INE0V9V01010,10,
ETML.NS,Emerald Tyre Manufacturers Limited,SM,12-Dec-24,10,INE0RHD01013,10,
GANESHIN.NS,Ganesh Infraworld Limited,SM,06-Dec-24,5,INE0TVT01024,5,
AGARWALTUF.NS,Agarwal Toughened Glass India Limited,SM,05-Dec-24,10,INE0P8X01016,10,
APEXECO.NS,Apex Ecotech Limited,SM,04-Dec-24,10,INE0T4V01015,10,
ABHAPOWER.NS,Abha Power and Steel Limited,SM,04-Dec-24,10,INE0UYG01015,10,
RAJPUTANA.NS,Rajputana Biodiesel Limited,SM,03-Dec-24,10,INE0VHU01019,10,
C2C.NS,C2C Advanced Systems Limited,SM,03-Dec-24,10,INE0U7V01015,10,
ITTL.NS,Innovative Tyres & Tubes Limited,ST,02-Dec-24,10,INE070Y01023,10,
LAMOSAIC.NS,Lamosaic India Limited,ST,29-Nov-24,10,INE0R0201012,10,
ONYX.NS,Onyx Biotec Limited,SM,22-Nov-24,10,INE0WVU01018,10,
NEELAM.NS,Neelam Linens and Garments (India) Limited,ST,18-Nov-24,10,INE0N1401016,10,
USHAFIN.NS,Usha Financial Services Limited,SM,31-Oct-24,10,INE0LS001014,10,
DANISH.NS,Danish Power Limited,SM,29-Oct-24,10,INE0YU901016,10,
UHTL.NS,United Heat Transfer Limited,ST,29-Oct-24,10,INE0SMR01011,10,
OBSCP.NS,OBSC Perfection Limited,ST,29-Oct-24,10,INE0YHV01011,10,
PREMIUM.NS,Premium Plast Limited,SM,28-Oct-24,10,INE0M1F01011,10,
FRESHARA.NS,Freshara Agro Exports Limited,ST,24-Oct-24,10,INE0SFW01015,10,
LAKSHYA.NS,Lakshya Powertech Limited,SM,23-Oct-24,10,INE0VZS01015,10,
PRANIK.NS,Pranik Logistics Limited,SM,17-Oct-24,10,INE0VJG01014,10,
PARAMOUNT.NS,Paramount Dye Tec Limited,SM,08-Oct-24,10,INE0TG801013,10,
SAJHOTELS.NS,Saj Hotels Limited,SM,07-Oct-24,10,INE00MT01022,10,
HVAX.NS,HVAX Technologies Limited,SM,07-Oct-24,10,INE0TO501019,10,
DIVYADHAN.NS,Divyadhan Recycling Industries Limited,SM,04-Oct-24,10,INE0QYI01019,10,
SAHASRA.NS,Sahasra Electronic Solutions Limited,SM,04-Oct-24,10,INE0RBQ01018,10,
FORGEAUTO.NS,Forge Auto International Limited,SM,04-Oct-24,10,INE0YKW01013,10,
THESL.NS,Thinking Hats Entertainment Solutions Limited,ST,03-Oct-24,10,INE0SHE01019,10,
TECHERA.NS,TechEra Engineering (India) Limited,ST,03-Oct-24,10,INE0JQS01019,10,
UNILEX.NS,Unilex Colours and Chemicals Limited,SM,03-Oct-24,10,INE0B2801011,10,
RAPPID.NS,Rappid Valves (India) Limited,ST,30-Sep-24,10,INE0MVO01012,10,
WOL3D.NS,Wol 3D India Limited,SM,30-Sep-24,10,INE0OO201011,10,
BIKEWO.NS,Bikewo Green Tech Limited,SM,27-Sep-24,10,INE0SQH01013,10,
SDREAMS.NS,S D Retail Limited,SM,27-Sep-24,10,INE0X6F01017,10,
PHOGLOBAL.NS,Phoenix Overseas Limited,ST,27-Sep-24,10,INE0FPO01018,10,
AVIANSH.NS,Avi Ansh Textile Limited,ST,27-Sep-24,10,INE0TFB01017,10,
KALANA.NS,Kalana Ispat Limited,SM,26-Sep-24,10,INE0T0L01014,10,
PSFL.NS,Paramount Speciality Forgings Limited,SM,25-Sep-24,10,INE0Q6001012,10,
ENVIRO.NS,Envirotech Systems Limited,SM,24-Sep-24,10,INE0SUH01015,10,
PELATRO.NS,Pelatro Limited,ST,24-Sep-24,10,INE0VG601013,10,
OSELDEVICE.NS,Osel Devices Limited,ST,24-Sep-24,10,INE0RMF01018,10,
DECCANTRAN.NS,Deccan Transcon Leasing Limited,ST,24-Sep-24,10,INE0S7C01019,10,
EXCELLENT.NS,Excellent Wires and Packaging Limited,SM,19-Sep-24,10,INE0Y4801011,10,
INNOMET.NS,Innomet Advanced Materials Limited,SM,18-Sep-24,10,INE0S1D01010,10,
SPPPOLY.NS,SPP Polymer Limited,ST,17-Sep-24,10,INE0QR801013,10,
GAJANAND.NS,Gajanand International Limited,ST,16-Sep-24,10,INE0QTE01018,10,
